GROUPING ID,GROUPING DESCRIPTION,Variable Legend,SELECT,DISPLAY,POPULATION_TYPE,VARIABLE
AIR_11.009,"Number of deaths among male population due to stroke attributable to household air pollution, by age",30-34 years,,,WHO_AIR_11,who/AIR_11.AGE--Y30T34__ENVCAUSE--ENVCAUSE114__SEX--M
AIR_11.009,"Number of deaths among male population due to stroke attributable to household air pollution, by age",35-39 years,,,WHO_AIR_11,who/AIR_11.AGE--Y35T39__ENVCAUSE--ENVCAUSE114__SEX--M
AIR_11.009,"Number of deaths among male population due to stroke attributable to household air pollution, by age",40-44 years,,,WHO_AIR_11,who/AIR_11.AGE--Y40T44__ENVCAUSE--ENVCAUSE114__SEX--M
AIR_11.009,"Number of deaths among male population due to stroke attributable to household air pollution, by age",45-49 years,,,WHO_AIR_11,who/AIR_11.AGE--Y45T49__ENVCAUSE--ENVCAUSE114__SEX--M
AIR_11.009,"Number of deaths among male population due to stroke attributable to household air pollution, by age",50-54 years,,,WHO_AIR_11,who/AIR_11.AGE--Y50T54__ENVCAUSE--ENVCAUSE114__SEX--M
AIR_11.009,"Number of deaths among male population due to stroke attributable to household air pollution, by age",55-59 years,,,WHO_AIR_11,who/AIR_11.AGE--Y55T59__ENVCAUSE--ENVCAUSE114__SEX--M
AIR_11.009,"Number of deaths among male population due to stroke attributable to household air pollution, by age",60-64 years,,,WHO_AIR_11,who/AIR_11.AGE--Y60T64__ENVCAUSE--ENVCAUSE114__SEX--M
AIR_11.009,"Number of deaths among male population due to stroke attributable to household air pollution, by age",65-69 years,,,WHO_AIR_11,who/AIR_11.AGE--Y65T69__ENVCAUSE--ENVCAUSE114__SEX--M
AIR_11.009,"Number of deaths among male population due to stroke attributable to household air pollution, by age",70-74 years,,,WHO_AIR_11,who/AIR_11.AGE--Y70T74__ENVCAUSE--ENVCAUSE114__SEX--M
AIR_11.009,"Number of deaths among male population due to stroke attributable to household air pollution, by age",75-79 years,,,WHO_AIR_11,who/AIR_11.AGE--Y75T79__ENVCAUSE--ENVCAUSE114__SEX--M
AIR_11.009,"Number of deaths among male population due to stroke attributable to household air pollution, by age",80+ years,,,WHO_AIR_11,who/AIR_11.AGE--Y_GE80__ENVCAUSE--ENVCAUSE114__SEX--M
AIR_11.010,"Number of deaths among male population due to trachea, bronchus, lung cancers attributable to household air pollution, by age",25-29 years,,,WHO_AIR_11,who/AIR_11.AGE--Y25T29__ENVCAUSE--ENVCAUSE068__SEX--M
AIR_11.010,"Number of deaths among male population due to trachea, bronchus, lung cancers attributable to household air pollution, by age",30-34 years,,,WHO_AIR_11,who/AIR_11.AGE--Y30T34__ENVCAUSE--ENVCAUSE068__SEX--M
AIR_11.010,"Number of deaths among male population due to trachea, bronchus, lung cancers attributable to household air pollution, by age",35-39 years,,,WHO_AIR_11,who/AIR_11.AGE--Y35T39__ENVCAUSE--ENVCAUSE068__SEX--M
AIR_11.010,"Number of deaths among male population due to trachea, bronchus, lung cancers attributable to household air pollution, by age",40-44 years,,,WHO_AIR_11,who/AIR_11.AGE--Y40T44__ENVCAUSE--ENVCAUSE068__SEX--M
AIR_11.010,"Number of deaths among male population due to trachea, bronchus, lung cancers attributable to household air pollution, by age",45-49 years,,,WHO_AIR_11,who/AIR_11.AGE--Y45T49__ENVCAUSE--ENVCAUSE068__SEX--M
AIR_11.010,"Number of deaths among male population due to trachea, bronchus, lung cancers attributable to household air pollution, by age",50-54 years,,,WHO_AIR_11,who/AIR_11.AGE--Y50T54__ENVCAUSE--ENVCAUSE068__SEX--M
AIR_11.010,"Number of deaths among male population due to trachea, bronchus, lung cancers attributable to household air pollution, by age",55-59 years,,,WHO_AIR_11,who/AIR_11.AGE--Y55T59__ENVCAUSE--ENVCAUSE068__SEX--M
AIR_11.010,"Number of deaths among male population due to trachea, bronchus, lung cancers attributable to household air pollution, by age",60-64 years,,,WHO_AIR_11,who/AIR_11.AGE--Y60T64__ENVCAUSE--ENVCAUSE068__SEX--M
AIR_11.010,"Number of deaths among male population due to trachea, bronchus, lung cancers attributable to household air pollution, by age",65-69 years,,,WHO_AIR_11,who/AIR_11.AGE--Y65T69__ENVCAUSE--ENVCAUSE068__SEX--M
AIR_11.010,"Number of deaths among male population due to trachea, bronchus, lung cancers attributable to household air pollution, by age",70-74 years,,,WHO_AIR_11,who/AIR_11.AGE--Y70T74__ENVCAUSE--ENVCAUSE068__SEX--M
AIR_11.010,"Number of deaths among male population due to trachea, bronchus, lung cancers attributable to household air pollution, by age",75-79 years,,,WHO_AIR_11,who/AIR_11.AGE--Y75T79__ENVCAUSE--ENVCAUSE068__SEX--M
AIR_11.010,"Number of deaths among male population due to trachea, bronchus, lung cancers attributable to household air pollution, by age",80+ years,,,WHO_AIR_11,who/AIR_11.AGE--Y_GE80__ENVCAUSE--ENVCAUSE068__SEX--M
AIR_11.011,"Number of deaths among total population due to chronic obstructive pulmonary disease attributable to household air pollution, by age",25-29 years,,,WHO_AIR_11,who/AIR_11.AGE--Y25T29__ENVCAUSE--ENVCAUSE118
AIR_11.011,"Number of deaths among total population due to chronic obstructive pulmonary disease attributable to household air pollution, by age",30-34 years,,,WHO_AIR_11,who/AIR_11.AGE--Y30T34__ENVCAUSE--ENVCAUSE118
AIR_11.011,"Number of deaths among total population due to chronic obstructive pulmonary disease attributable to household air pollution, by age",35-39 years,,,WHO_AIR_11,who/AIR_11.AGE--Y35T39__ENVCAUSE--ENVCAUSE118
AIR_11.011,"Number of deaths among total population due to chronic obstructive pulmonary disease attributable to household air pollution, by age",40-44 years,,,WHO_AIR_11,who/AIR_11.AGE--Y40T44__ENVCAUSE--ENVCAUSE118
AIR_11.011,"Number of deaths among total population due to chronic obstructive pulmonary disease attributable to household air pollution, by age",45-49 years,,,WHO_AIR_11,who/AIR_11.AGE--Y45T49__ENVCAUSE--ENVCAUSE118
AIR_11.011,"Number of deaths among total population due to chronic obstructive pulmonary disease attributable to household air pollution, by age",50-54 years,,,WHO_AIR_11,who/AIR_11.AGE--Y50T54__ENVCAUSE--ENVCAUSE118
AIR_11.011,"Number of deaths among total population due to chronic obstructive pulmonary disease attributable to household air pollution, by age",55-59 years,,,WHO_AIR_11,who/AIR_11.AGE--Y55T59__ENVCAUSE--ENVCAUSE118
AIR_11.011,"Number of deaths among total population due to chronic obstructive pulmonary disease attributable to household air pollution, by age",60-64 years,,,WHO_AIR_11,who/AIR_11.AGE--Y60T64__ENVCAUSE--ENVCAUSE118
AIR_11.011,"Number of deaths among total population due to chronic obstructive pulmonary disease attributable to household air pollution, by age",65-69 years,,,WHO_AIR_11,who/AIR_11.AGE--Y65T69__ENVCAUSE--ENVCAUSE118
AIR_11.011,"Number of deaths among total population due to chronic obstructive pulmonary disease attributable to household air pollution, by age",70-74 years,,,WHO_AIR_11,who/AIR_11.AGE--Y70T74__ENVCAUSE--ENVCAUSE118
AIR_11.011,"Number of deaths among total population due to chronic obstructive pulmonary disease attributable to household air pollution, by age",75-79 years,,,WHO_AIR_11,who/AIR_11.AGE--Y75T79__ENVCAUSE--ENVCAUSE118
AIR_11.011,"Number of deaths among total population due to chronic obstructive pulmonary disease attributable to household air pollution, by age",80+ years,,,WHO_AIR_11,who/AIR_11.AGE--Y_GE80__ENVCAUSE--ENVCAUSE118
AIR_11.012,"Number of deaths among total population due to ischaemic heart disease attributable to household air pollution, by age",25-29 years,,,WHO_AIR_11,who/AIR_11.AGE--Y25T29__ENVCAUSE--ENVCAUSE113
AIR_11.012,"Number of deaths among total population due to ischaemic heart disease attributable to household air pollution, by age",30-34 years,,,WHO_AIR_11,who/AIR_11.AGE--Y30T34__ENVCAUSE--ENVCAUSE113
AIR_11.012,"Number of deaths among total population due to ischaemic heart disease attributable to household air pollution, by age",35-39 years,,,WHO_AIR_11,who/AIR_11.AGE--Y35T39__ENVCAUSE--ENVCAUSE113
AIR_11.012,"Number of deaths among total population due to ischaemic heart disease attributable to household air pollution, by age",40-44 years,,,WHO_AIR_11,who/AIR_11.AGE--Y40T44__ENVCAUSE--ENVCAUSE113
AIR_11.012,"Number of deaths among total population due to ischaemic heart disease attributable to household air pollution, by age",45-49 years,,,WHO_AIR_11,who/AIR_11.AGE--Y45T49__ENVCAUSE--ENVCAUSE113
AIR_11.012,"Number of deaths among total population due to ischaemic heart disease attributable to household air pollution, by age",50-54 years,,,WHO_AIR_11,who/AIR_11.AGE--Y50T54__ENVCAUSE--ENVCAUSE113
AIR_11.012,"Number of deaths among total population due to ischaemic heart disease attributable to household air pollution, by age",55-59 years,,,WHO_AIR_11,who/AIR_11.AGE--Y55T59__ENVCAUSE--ENVCAUSE113
AIR_11.012,"Number of deaths among total population due to ischaemic heart disease attributable to household air pollution, by age",60-64 years,,,WHO_AIR_11,who/AIR_11.AGE--Y60T64__ENVCAUSE--ENVCAUSE113
AIR_11.012,"Number of deaths among total population due to ischaemic heart disease attributable to household air pollution, by age",65-69 years,,,WHO_AIR_11,who/AIR_11.AGE--Y65T69__ENVCAUSE--ENVCAUSE113
AIR_11.012,"Number of deaths among total population due to ischaemic heart disease attributable to household air pollution, by age",70-74 years,,,WHO_AIR_11,who/AIR_11.AGE--Y70T74__ENVCAUSE--ENVCAUSE113
AIR_11.012,"Number of deaths among total population due to ischaemic heart disease attributable to household air pollution, by age",75-79 years,,,WHO_AIR_11,who/AIR_11.AGE--Y75T79__ENVCAUSE--ENVCAUSE113
AIR_11.012,"Number of deaths among total population due to ischaemic heart disease attributable to household air pollution, by age",80+ years,,,WHO_AIR_11,who/AIR_11.AGE--Y_GE80__ENVCAUSE--ENVCAUSE113
AIR_11.013,"Number of deaths among total population due to lower respiratory infections attributable to household air pollution, by age",0-4 years,,,WHO_AIR_11,who/AIR_11.AGE--Y0T4__ENVCAUSE--ENVCAUSE039
AIR_11.013,"Number of deaths among total population due to lower respiratory infections attributable to household air pollution, by age",5-9 years,,,WHO_AIR_11,who/AIR_11.AGE--Y5T9__ENVCAUSE--ENVCAUSE039
AIR_11.013,"Number of deaths among total population due to lower respiratory infections attributable to household air pollution, by age",10-14 years,,,WHO_AIR_11,who/AIR_11.AGE--Y10T14__ENVCAUSE--ENVCAUSE039
AIR_11.013,"Number of deaths among total population due to lower respiratory infections attributable to household air pollution, by age",15-19 years,,,WHO_AIR_11,who/AIR_11.AGE--Y15T19__ENVCAUSE--ENVCAUSE039
AIR_11.013,"Number of deaths among total population due to lower respiratory infections attributable to household air pollution, by age",20-24 years,,,WHO_AIR_11,who/AIR_11.AGE--Y20T24__ENVCAUSE--ENVCAUSE039
AIR_11.013,"Number of deaths among total population due to lower respiratory infections attributable to household air pollution, by age",25-29 years,,,WHO_AIR_11,who/AIR_11.AGE--Y25T29__ENVCAUSE--ENVCAUSE039
AIR_11.013,"Number of deaths among total population due to lower respiratory infections attributable to household air pollution, by age",30-34 years,,,WHO_AIR_11,who/AIR_11.AGE--Y30T34__ENVCAUSE--ENVCAUSE039
AIR_11.013,"Number of deaths among total population due to lower respiratory infections attributable to household air pollution, by age",35-39 years,,,WHO_AIR_11,who/AIR_11.AGE--Y35T39__ENVCAUSE--ENVCAUSE039
AIR_11.013,"Number of deaths among total population due to lower respiratory infections attributable to household air pollution, by age",40-44 years,,,WHO_AIR_11,who/AIR_11.AGE--Y40T44__ENVCAUSE--ENVCAUSE039
AIR_11.013,"Number of deaths among total population due to lower respiratory infections attributable to household air pollution, by age",45-49 years,,,WHO_AIR_11,who/AIR_11.AGE--Y45T49__ENVCAUSE--ENVCAUSE039
AIR_11.013,"Number of deaths among total population due to lower respiratory infections attributable to household air pollution, by age",50-54 years,,,WHO_AIR_11,who/AIR_11.AGE--Y50T54__ENVCAUSE--ENVCAUSE039
AIR_11.013,"Number of deaths among total population due to lower respiratory infections attributable to household air pollution, by age",55-59 years,,,WHO_AIR_11,who/AIR_11.AGE--Y55T59__ENVCAUSE--ENVCAUSE039
AIR_11.013,"Number of deaths among total population due to lower respiratory infections attributable to household air pollution, by age",60-64 years,,,WHO_AIR_11,who/AIR_11.AGE--Y60T64__ENVCAUSE--ENVCAUSE039
AIR_11.013,"Number of deaths among total population due to lower respiratory infections attributable to household air pollution, by age",65-69 years,,,WHO_AIR_11,who/AIR_11.AGE--Y65T69__ENVCAUSE--ENVCAUSE039
AIR_11.013,"Number of deaths among total population due to lower respiratory infections attributable to household air pollution, by age",70-74 years,,,WHO_AIR_11,who/AIR_11.AGE--Y70T74__ENVCAUSE--ENVCAUSE039
AIR_11.013,"Number of deaths among total population due to lower respiratory infections attributable to household air pollution, by age",75-79 years,,,WHO_AIR_11,who/AIR_11.AGE--Y75T79__ENVCAUSE--ENVCAUSE039
AIR_11.013,"Number of deaths among total population due to lower respiratory infections attributable to household air pollution, by age",80+ years,,,WHO_AIR_11,who/AIR_11.AGE--Y_GE80__ENVCAUSE--ENVCAUSE039
AIR_11.014,"Number of deaths among total population due to stroke attributable to household air pollution, by age",25-29 years,,,WHO_AIR_11,who/AIR_11.AGE--Y25T29__ENVCAUSE--ENVCAUSE114
AIR_11.014,"Number of deaths among total population due to stroke attributable to household air pollution, by age",30-34 years,,,WHO_AIR_11,who/AIR_11.AGE--Y30T34__ENVCAUSE--ENVCAUSE114
AIR_11.014,"Number of deaths among total population due to stroke attributable to household air pollution, by age",35-39 years,,,WHO_AIR_11,who/AIR_11.AGE--Y35T39__ENVCAUSE--ENVCAUSE114
AIR_11.014,"Number of deaths among total population due to stroke attributable to household air pollution, by age",40-44 years,,,WHO_AIR_11,who/AIR_11.AGE--Y40T44__ENVCAUSE--ENVCAUSE114
AIR_11.014,"Number of deaths among total population due to stroke attributable to household air pollution, by age",45-49 years,,,WHO_AIR_11,who/AIR_11.AGE--Y45T49__ENVCAUSE--ENVCAUSE114
AIR_11.014,"Number of deaths among total population due to stroke attributable to household air pollution, by age",50-54 years,,,WHO_AIR_11,who/AIR_11.AGE--Y50T54__ENVCAUSE--ENVCAUSE114
AIR_11.014,"Number of deaths among total population due to stroke attributable to household air pollution, by age",55-59 years,,,WHO_AIR_11,who/AIR_11.AGE--Y55T59__ENVCAUSE--ENVCAUSE114
AIR_11.014,"Number of deaths among total population due to stroke attributable to household air pollution, by age",60-64 years,,,WHO_AIR_11,who/AIR_11.AGE--Y60T64__ENVCAUSE--ENVCAUSE114
AIR_11.014,"Number of deaths among total population due to stroke attributable to household air pollution, by age",65-69 years,,,WHO_AIR_11,who/AIR_11.AGE--Y65T69__ENVCAUSE--ENVCAUSE114
AIR_11.014,"Number of deaths among total population due to stroke attributable to household air pollution, by age",70-74 years,,,WHO_AIR_11,who/AIR_11.AGE--Y70T74__ENVCAUSE--ENVCAUSE114
AIR_11.014,"Number of deaths among total population due to stroke attributable to household air pollution, by age",75-79 years,,,WHO_AIR_11,who/AIR_11.AGE--Y75T79__ENVCAUSE--ENVCAUSE114
AIR_11.014,"Number of deaths among total population due to stroke attributable to household air pollution, by age",80+ years,,,WHO_AIR_11,who/AIR_11.AGE--Y_GE80__ENVCAUSE--ENVCAUSE114
AIR_11.015,"Number of deaths among total population due to trachea, bronchus, lung cancers attributable to household air pollution, by age",25-29 years,,,WHO_AIR_11,who/AIR_11.AGE--Y25T29__ENVCAUSE--ENVCAUSE068
AIR_11.015,"Number of deaths among total population due to trachea, bronchus, lung cancers attributable to household air pollution, by age",30-34 years,,,WHO_AIR_11,who/AIR_11.AGE--Y30T34__ENVCAUSE--ENVCAUSE068
AIR_11.015,"Number of deaths among total population due to trachea, bronchus, lung cancers attributable to household air pollution, by age",35-39 years,,,WHO_AIR_11,who/AIR_11.AGE--Y35T39__ENVCAUSE--ENVCAUSE068
AIR_11.015,"Number of deaths among total population due to trachea, bronchus, lung cancers attributable to household air pollution, by age",40-44 years,,,WHO_AIR_11,who/AIR_11.AGE--Y40T44__ENVCAUSE--ENVCAUSE068
AIR_11.015,"Number of deaths among total population due to trachea, bronchus, lung cancers attributable to household air pollution, by age",45-49 years,,,WHO_AIR_11,who/AIR_11.AGE--Y45T49__ENVCAUSE--ENVCAUSE068
AIR_11.015,"Number of deaths among total population due to trachea, bronchus, lung cancers attributable to household air pollution, by age",50-54 years,,,WHO_AIR_11,who/AIR_11.AGE--Y50T54__ENVCAUSE--ENVCAUSE068
